row_id,drink,date_modified,id_drink,alcoholic,category,drink_thumb,glass,iba,video,ingredient_number,ingredient,measure
389,Nuked Hot Chocolate,2/20/17 15:05,12746,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/xcu6nb1487603142.jpg,Coffee mug,NA,NA,4,Milk,12 oz
390,Nutty Irishman,9/3/15 3:40,13861,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/xspupx1441248014.jpg,Highball Glass,NA,NA,1,Bailey's irish cream,1 part
390,Nutty Irishman,9/3/15 3:40,13861,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/xspupx1441248014.jpg,Highball Glass,NA,NA,2,Frangelico,1 part
390,Nutty Irishman,9/3/15 3:40,13861,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/xspupx1441248014.jpg,Highball Glass,NA,NA,3,Milk,1 part
391,Old Fashioned,11/4/16 9:46,17179,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg,Old-fashioned glass,Unforgettables,NA,1,Bourbon,4.5 cL
391,Old Fashioned,11/4/16 9:46,17179,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg,Old-fashioned glass,Unforgettables,NA,2,Angostura bitters,2 dashes
391,Old Fashioned,11/4/16 9:46,17179,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg,Old-fashioned glass,Unforgettables,NA,3,Sugar,1 cube
391,Old Fashioned,11/4/16 9:46,17179,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg,Old-fashioned glass,Unforgettables,NA,4,Water,dash
392,Orange Crush,9/8/17 16:52,15330,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/zvoics1504885926.jpg,Shot glass,NA,NA,1,Vodka,1 oz
392,Orange Crush,9/8/17 16:52,15330,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/zvoics1504885926.jpg,Shot glass,NA,NA,2,Triple sec,1 oz
392,Orange Crush,9/8/17 16:52,15330,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/zvoics1504885926.jpg,Shot glass,NA,NA,3,Orange juice,1 oz
393,Orange Oasis,9/2/15 5:25,11870,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xqqytq1441167923.jpg,Highball glass,NA,NA,1,Cherry brandy,1/2 oz
393,Orange Oasis,9/2/15 5:25,11870,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xqqytq1441167923.jpg,Highball glass,NA,NA,2,Gin,1 1/2 oz
393,Orange Oasis,9/2/15 5:25,11870,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xqqytq1441167923.jpg,Highball glass,NA,NA,3,Orange juice,4 oz
393,Orange Oasis,9/2/15 5:25,11870,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xqqytq1441167923.jpg,Highball glass,NA,NA,4,Ginger ale,"
"
394,Orange Push-up,8/24/17 10:09,14586,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/mgf0y91503565781.jpg,Hurricane glass,NA,NA,1,Spiced rum,1.5 oz
394,Orange Push-up,8/24/17 10:09,14586,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/mgf0y91503565781.jpg,Hurricane glass,NA,NA,2,Grenadine,0.5 oz
